bidder_id,company_name,login_email,aadhaar_number,pan_number,gstin,cin_number,is_msme,udyam_reg_no,fy_turnover_cr,ca_udin,mii_percentage,director_name,director_din,registered_address,tampered_flag
BID_1010,Kade-Sahota Pvt Ltd,info@kadesahota.co.in,XXXX XXXX 6683,NXCCF9076W,27NXCCF9076W9ZH,U50996TN2015YYX969006,False,UDYAM-MH-20-6090755,137.35,24061255IHQECI7198,78.4,Max Ghosh,84663410,"Plot 98, Okhla Industrial Estate, New Delhi - 944553",False
BID_1011,Andra-Dash Limited,sales@andradash.biz.in,XXXX XXXX 5219,RAGCD3236V,09RAGCD3236V3ZT,L93775MH2016MYP561163,False,UDYAM-UP-42-4216050,113.74,24602677KWRECK6636,42.7,Chakradev Barman,59639250,"Plot 160, Rudrapur Industrial Estate, Uttarakhand - 114543",False
BID_1012,Edwin PLC Pvt Ltd,procurement@edwinplc.in,XXXX XXXX 3549,RPTCZ5324W,24RPTCZ5324W9Z6,U88639GJ2011FKL698853,True,UDYAM-GJ-88-0216484,1.73,24800316CCVWOM5131,55.0,Wazir Menon,80974906,"Plot 109, Manesar Industrial Area, Gurugram - 940479",False
BID_1013,Saxena-Sodhi LLP,sales@saxenasodhi.co.in,XXXX XXXX 5511,EQGCR5431E,24EQGCR5431E5ZQ,U76374UP1997PQI883761,False,UDYAM-GJ-40-6527829,113.23,24644431JVLRPO3733,38.8,Logan Dey,43468297,"Plot 30, Baddi Industrial Area, Himachal Pradesh - 323870",False
BID_1014,Sagar-Varghese LLP,procurement@sagarvarghese.com,XXXX XXXX 1260,BFBCL9951T,27BFBCL9951T9Z7,L21419DL2020UZW704877,False,UDYAM-MH-84-3671032,136.36,24194621UHXFKJ9805,27.0,Thomas Pradhan,51235802,"Plot 143, Peenya Industrial Area, Bengaluru - 781121",False
BID_1015,"Khosla, Jaggi and Sahni LLP",procurement@khoslajaggiandsahni.com,XXXX XXXX 6588,PMECY1306E,29PMECY1306E5Z8,L93974DL2024HGK791326,True,UDYAM-KA-44-2199007,8.46,24723679MLQIJO2634,84.5,Qasim Kant,06704660,"Plot 38, Rudrapur Industrial Estate, Uttarakhand - 647631",False
BID_1016,"Dayal, Mandal and Kalla Pvt Ltd",admin@dayalmandalandkalla.co.in,XXXX XXXX 6775,GFFCG4617Q,07GFFCG4617Q8ZW,L38687KA2000ILK440332,False,UDYAM-DL-55-7923778,86.02,24029820BVUIVT8574,29.0,Aayush Pillai,61082353,"Plot 58, Naroda Industrial Estate, Ahmedabad - 626952",False
BID_1017,Arya LLP,info@arya.com,XXXX XXXX 1109,HZTCX0522A,24HZTCX0522A3ZZ,L64505DL1996WZB310009,True,UDYAM-GJ-40-7549041,39.42,24122080FYIKTZ8433,81.1,Ganga Zacharia,20814501,"Plot 155, Rudrapur Industrial Estate, Uttarakhand - 848761",False
BID_1018,"Sampath, Chopra and Nanda LLP",procurement@sampathchopraandnanda.in,XXXX XXXX 6288,QFWCC7810E,09QFWCC7810E8ZG,U15188TN2014CHM048353,True,UDYAM-UP-49-2334819,18.82,24859871NXYSIQ0245,90.9,Kashish Halder,60876338,"Plot 166, Okhla Industrial Estate, New Delhi - 556423",False
BID_1019,Pant Limited,procurement@pant.com,XXXX XXXX 1714,XBCCH7183L,24XBCCH7183L7ZM,U58146UP2011DRP611944,False,UDYAM-GJ-01-5963922,195.24,24917826BIJPOK5732,49.0,Diya Goyal,09913131,"Plot 95, Hosur Industrial Estate, Hosur - 128621",False
BID_1020,"Bhatti, Wason and Savant LLP",gem.desk@bhattiwasonandsavant.biz.in,XXXX XXXX 1396,ZHOCQ1257C,33ZHOCQ1257C4ZX,L79112TN2023RJM874320,False,UDYAM-TN-31-8536274,22.26,24276323YAKIGF2476,32.5,Tanveer Mani,54169423,"Plot 154, Naroda Industrial Estate, Ahmedabad - 802135",False
BID_1021,Rai Pvt Ltd,procurement@rai.biz.in,XXXX XXXX 2062,VKRCA4353C,27VKRCA4353C7ZT,L45092GJ2000UAQ843796,True,UDYAM-MH-00-7574015,34.32,24782204LLUHEF4445,26.4,Ishani Koshy,03987247,"Plot 169, Patparganj Industrial Area, New Delhi - 468095",False
BID_1022,Bansal-Kata LLP,sales@bansalkata.co.in,XXXX XXXX 0960,FBSCW3459F,27FBSCW3459F8ZF,L59182GJ1997JAZ176114,False,UDYAM-MH-13-3510623,200.21,24985370LGNCHD0227,48.0,Unni Sarma,07071470,"Plot 85, Rudrapur Industrial Estate, Uttarakhand - 676090",False
BID_1023,Shanker LLP,info@shanker.biz.in,XXXX XXXX 7448,OYVCW9223L,07OYVCW9223L2ZW,U36667DL2016EHW068160,False,UDYAM-DL-66-8053871,61.42,24953260JJWXTU7129,52.6,Jagvi Suresh,98420303,"Plot 203, Peenya Industrial Area, Bengaluru - 052436",False
BID_1024,"Som, Ganguly and D’Alia Limited",sales@somgangulyanddalia.biz.in,XXXX XXXX 1729,DHFCC4902W,09DHFCC4902W1Z5,U44185UP2007QBA782589,True,UDYAM-UP-29-2986391,32.90,24923211ZYEVOD9801,47.5,Sanya Mitter,67840454,"Plot 65, Sanand GIDC Industrial Area, Ahmedabad - 597155",False
BID_1025,Puri Limited,info@puri.co.in,XXXX XXXX 9927,IMKCA7376G,09IMKCA7376G7Z5,L57513MH2003UWL428160,True,UDYAM-UP-10-5486233,2.18,24927510MXIDTF8154,58.6,Luke Buch,14779434,"Plot 36, Guindy Industrial Estate, Chennai - 092197",False
BID_1026,Borde-Gola Pvt Ltd,sales@bordegola.in,XXXX XXXX 2694,XMCCF7287J,33XMCCF7287J4ZC,U25398DL2004VFO857912,True,UDYAM-TN-63-4890793,26.19,24932879EVBSDV3730,45.9,Wyatt Gala,96208008,"Plot 84, Rudrapur Industrial Estate, Uttarakhand - 337722",False
BID_1027,Swaminathan Pvt Ltd,admin@swaminathan.in,XXXX XXXX 7305,NGYCF1728Q,33NGYCF1728Q9ZK,L28273TN2017USC614383,False,UDYAM-TN-87-2260959,218.96,24641953NKITZU5784,28.6,Om Karnik,35591332,"Plot 10, Hosur Industrial Estate, Hosur - 715559",False
BID_1028,Sem-Dua LLP,gem.desk@semdua.in,XXXX XXXX 9135,MDHCI3494R,24MDHCI3494R1ZR,L12644KA2016REY138364,False,UDYAM-GJ-47-6890590,186.45,24944980KJMKXY5924,63.6,Zansi Saini,71777121,"Plot 100, Peenya Industrial Area, Bengaluru - 959316",False
BID_1029,Mandal Limited,info@mandal.co.in,XXXX XXXX 1274,YITCI1946G,27YITCI1946G4Z3,U77466MH1995ZUG091582,True,UDYAM-MH-41-0369312,26.85,24636763LTDKBY1613,33.9,Akshay Maharaj,52449603,"Plot 169, Taloja MIDC, Navi Mumbai - 702505",False
BID_1030,Natt Limited,bids@natt.biz.in,XXXX XXXX 0870,ZAVCG8946O,29ZAVCG8946O5ZY,L13602DL2019OQT545493,True,UDYAM-KA-30-2748201,22.98,24987409POSPKY1315,28.6,Vaishnavi Baria,46487275,"Plot 216, MIDC Industrial Area, Pune - 578923",True
BID_1031,"Misra, Yadav and Vyas LLP",info@misrayadavandvyas.biz.in,XXXX XXXX 1014,EQYCU2239S,27EQYCU2239S8Z1,L22581DL2007XFQ358799,True,UDYAM-MH-00-5098253,14.41,24001109FLUZMX0844,86.0,Edhitha Lala,97891638,"Plot 52, Manesar Industrial Area, Gurugram - 945073",False
BID_1032,"Shan, Grover and Dar Limited",admin@shangroveranddar.in,XXXX XXXX 7169,EKWCB9909B,27EKWCB9909B7ZY,U18699UP2019VSO384702,True,UDYAM-MH-34-1831526,11.21,24971813ABOTEH1121,37.2,Eiravati Seshadri,97107927,"Plot 86, Taloja MIDC, Navi Mumbai - 755939",False
BID_1033,Ramachandran-Issac Pvt Ltd,info@ramachandranissac.in,XXXX XXXX 0705,IBWCL1167Y,09IBWCL1167Y2Z0,U65307GJ2009EWW186978,True,UDYAM-UP-85-2366203,31.18,24025551YHAYSP9062,86.4,Hemang Gole,05873022,"Plot 135, Naroda Industrial Estate, Ahmedabad - 193730",False
BID_1034,"Venkatesh, Murthy and Karnik Pvt Ltd",info@venkateshmurthyandkarnik.in,XXXX XXXX 6446,HMLCK2339Y,27HMLCK2339Y1ZD,L90832GJ1995TUS632690,False,UDYAM-MH-01-4713355,191.26,24055663XWTDEG7768,81.2,Yashica Vasa,67530542,"Plot 33, Okhla Industrial Estate, New Delhi - 744973",False
BID_1035,Upadhyay LLP,sales@upadhyay.biz.in,XXXX XXXX 2689,IJRCT0850G,24IJRCT0850G5ZX,U53699DL2010MFP201753,False,UDYAM-GJ-49-7079031,140.82,24939712JLXTKJ3313,26.7,Arin Lal,42646635,"Plot 80, Ambattur Industrial Estate, Chennai - 144358",True
BID_1036,Vohra-Chacko LLP,info@vohrachacko.in,XXXX XXXX 5117,WVICL3728S,29WVICL3728S7ZC,L28763UP1997GMI488165,False,UDYAM-KA-25-3177615,153.18,24490143WCKEHG4282,80.2,Widisha Tandon,88656673,"Plot 66, Baddi Industrial Area, Himachal Pradesh - 619385",False
BID_1037,Ben PLC LLP,info@benplc.com,XXXX XXXX 1105,WNGCE1650V,29WNGCE1650V3ZV,U79777GJ2024ZBJ737352,False,UDYAM-KA-74-9803463,130.27,24069204TGXPAO8053,44.4,Januja Lad,72993489,"Plot 99, Naroda Industrial Estate, Ahmedabad - 385252",False
BID_1038,Sarkar Limited,contact@sarkar.com,XXXX XXXX 6905,TSCCK2032U,27TSCCK2032U3ZF,L47033TN1999UHR259601,False,UDYAM-MH-36-3954652,68.63,24292604IBSHIX8993,70.5,Arin Dugar,35475149,"Plot 52, Ambattur Industrial Estate, Chennai - 114246",False
BID_1039,Raval-Sankar LLP,admin@ravalsankar.biz.in,XXXX XXXX 0579,KHSCD8899N,33KHSCD8899N2ZL,U77392TN2017RAE806286,False,UDYAM-TN-28-1954922,233.01,24830096IAFTOY2120,83.2,Manya Joshi,76838268,"Plot 148, Patparganj Industrial Area, New Delhi - 651573",False
BID_1040,Nanda LLP,sales@nanda.com,XXXX XXXX 2229,XFRCG0030O,33XFRCG0030O4ZW,L57400MH2009RME100469,False,UDYAM-TN-24-3111765,210.19,24192830GTHICZ0976,28.2,Jack Edwin,52672738,"Plot 49, Hosur Industrial Estate, Hosur - 516759",False
BID_1041,Kala-Khatri Limited,procurement@kalakhatri.in,XXXX XXXX 6045,MHZCL0011F,27MHZCL0011F9ZS,L46087KA2000FBE573640,False,UDYAM-MH-53-2525080,224.13,24554745AZXQHB4240,57.2,Raksha Kunda,31304319,"Plot 205, Peenya Industrial Area, Bengaluru - 070021",False
BID_1042,"Tailor, Palan and Kari LLP",contact@tailorpalanandkari.in,XXXX XXXX 4801,ZJQCJ7776D,07ZJQCJ7776D9ZE,U29283KA2001ESH239430,True,UDYAM-DL-81-9927118,14.12,24439081MLRVPD3313,40.8,Balveer Kata,36647295,"Plot 32, Whitefield Industrial Zone, Bengaluru - 127360",False
BID_1043,"Dua, Barman and Gour Limited",info@duabarmanandgour.co.in,XXXX XXXX 9266,QKUCJ2281F,33QKUCJ2281F5ZO,L22931GJ2002ZJM619109,False,UDYAM-TN-39-4877377,197.24,24259119UMMCTQ6391,91.0,Dev Pradhan,08778979,"Plot 135, Sanand GIDC Industrial Area, Ahmedabad - 805129",False
BID_1044,"Majumdar, Das and Narang LLP",contact@majumdardasandnarang.com,XXXX XXXX 4934,ZWRCT2983S,33ZWRCT2983S2ZT,U61922MH2021LBS367662,False,UDYAM-TN-20-7850599,102.37,24193640TMFZFG8141,85.7,Niharika Doshi,89553832,"Plot 137, Noida Sector 63 Industrial Area, Noida - 146399",False
BID_1045,"Nair, Chhabra and Salvi Pvt Ltd",admin@nairchhabraandsalvi.com,XXXX XXXX 5047,OIPCR9648R,33OIPCR9648R4Z1,U16881MH2018ARP493436,False,UDYAM-TN-18-8143826,118.67,24049432KOGAMS2203,57.5,Nikita Atwal,02420472,"Plot 217, Guindy Industrial Estate, Chennai - 167157",False
BID_1046,Dutta-Vohra Limited,procurement@duttavohra.com,XXXX XXXX 4116,LVUCH1498R,29LVUCH1498R8ZA,L56172KA2011FZV965191,False,UDYAM-KA-07-4846323,123.22,24142306WDQISK9670,27.0,Geetika Naidu,23318762,"Plot 107, Ambattur Industrial Estate, Chennai - 970727",False
BID_1047,"Sethi, Koshy and Datta Limited",bids@sethikoshyanddatta.biz.in,XXXX XXXX 9510,HQTCE5897F,24HQTCE5897F6Z7,U87679GJ2005HTG634327,False,UDYAM-GJ-38-1644933,172.33,24652037EFLRVV8322,29.6,Qabil Sridhar,83891154,"Plot 172, Manesar Industrial Area, Gurugram - 443833",False
BID_1048,Rout-Parikh Pvt Ltd,contact@routparikh.in,XXXX XXXX 7176,SEUCN7155P,24SEUCN7155P1ZE,L87985UP2018FWC452638,False,UDYAM-GJ-70-5146607,159.62,24537309LXFVIC1411,86.3,Jagvi Wason,23459424,"Plot 5, Taloja MIDC, Navi Mumbai - 591153",False
BID_1049,Kari LLP,contact@kari.co.in,XXXX XXXX 6743,DPFCC1590I,24DPFCC1590I1ZS,U43582GJ1996QMN348100,True,UDYAM-GJ-38-4467451,19.13,24346411IEBMSF8691,67.7,Vaishnavi Lall,34444968,"Plot 56, Whitefield Industrial Zone, Bengaluru - 214069",False
BID_1050,"Iyengar, Parmer and Pingle Pvt Ltd",admin@iyengarparmerandpingle.in,XXXX XXXX 7370,VTCCA1340G,27VTCCA1340G6ZW,U55900UP2021CYD900720,False,UDYAM-MH-55-5310399,181.20,24200443USOLMK7034,48.2,Bhanumati Doshi,27973083,"Plot 234, Hosur Industrial Estate, Hosur - 647269",False
BID_1051,Garde-Dave Limited,gem.desk@gardedave.biz.in,XXXX XXXX 8594,XDOCA8444E,33XDOCA8444E9Z6,U13023KA2009CBQ172342,False,UDYAM-TN-79-8000827,61.97,24488670QHWPSF5967,91.1,Bhavna Palla,44249029,"Plot 170, Baddi Industrial Area, Himachal Pradesh - 654031",False
BID_1052,Chand Pvt Ltd,bids@chand.co.in,XXXX XXXX 3940,LLNCE5837W,29LLNCE5837W6ZN,U28984DL2000GPE911936,False,UDYAM-KA-44-0220092,224.53,24136445PURISF7866,70.2,Chandresh Dani,77659355,"Plot 30, Okhla Industrial Estate, New Delhi - 334393",False
BID_1053,Dara PLC Limited,bids@daraplc.com,XXXX XXXX 4911,QGTCB1697I,24QGTCB1697I5ZV,U81739KA2013ZBE766915,False,UDYAM-GJ-24-6743564,33.64,24968309QFVLOS1240,28.2,Ria Gara,00157816,"Plot 10, Naroda Industrial Estate, Ahmedabad - 616619",False
BID_1054,Bhardwaj LLP,admin@bhardwaj.in,XXXX XXXX 9001,SHUCO6022E,24SHUCO6022E8ZS,U23540TN2003KUP408298,False,UDYAM-GJ-90-0511258,18.21,24015935BRNIKP3499,74.0,Sneha Goel,60780462,"Plot 185, Patparganj Industrial Area, New Delhi - 867333",False
BID_1055,"Mane, Butala and Rastogi Pvt Ltd",bids@manebutalaandrastogi.biz.in,XXXX XXXX 0504,VIBCF8328N,29VIBCF8328N3ZX,L24124KA2018ZGF557541,False,UDYAM-KA-02-6943455,193.66,24094382HVSAIT3863,94.2,Manya Lad,63447235,"Plot 225, Baddi Industrial Area, Himachal Pradesh - 628609",False
BID_1056,Kapoor PLC LLP,bids@kapoorplc.biz.in,XXXX XXXX 0741,METCW2348I,29METCW2348I3ZF,L31162MH2011GLS634395,True,UDYAM-KA-27-0164150,2.59,24215956YDYQIV1160,80.4,Radha Sahni,66576955,"Plot 92, Taloja MIDC, Navi Mumbai - 293007",False
BID_1057,Deshmukh-Sarkar Limited,procurement@deshmukhsarkar.biz.in,XXXX XXXX 2226,XMRCU0181Y,09XMRCU0181Y2ZE,L72621TN2004GZQ439310,True,UDYAM-UP-48-7706268,14.12,24436602XRXJKT9356,29.3,Eta Dube,23120931,"Plot 41, Taloja MIDC, Navi Mumbai - 640545",False
BID_1058,Patla-Walia LLP,sales@patlawalia.in,XXXX XXXX 0433,MZCCL9737N,07MZCCL9737N1Z2,L25736TN1995YGE937933,True,UDYAM-DL-43-2170531,34.18,24242268OHTVZQ4727,23.7,Avi Agrawal,87869788,"Plot 189, Patparganj Industrial Area, New Delhi - 105940",False
BID_1059,"Banik, Wable and Sarraf Pvt Ltd",sales@banikwableandsarraf.in,XXXX XXXX 2574,ACLCU7715L,07ACLCU7715L3ZL,L24931KA2011AUO820590,True,UDYAM-DL-02-6658005,31.19,24356757EYXMML1003,85.5,Brinda Mander,09205880,"Plot 8, Taloja MIDC, Navi Mumbai - 628007",False
BID_1060,Ganesh Limited,gem.desk@ganesh.in,XXXX XXXX 3512,QDJCZ2668T,09QDJCZ2668T8Z3,L29315GJ2008LJV053083,False,UDYAM-UP-86-4973947,216.52,24560262VWDIGD0848,26.4,Shaurya Mammen,23765512,"Plot 110, MIDC Industrial Area, Pune - 306062",False
BID_1061,"Ramachandran, Yogi and Malhotra Limited",bids@ramachandranyogiandmalhotra.in,XXXX XXXX 0347,BWBCH7851T,07BWBCH7851T6Z2,U34658DL2010KZZ856282,False,UDYAM-DL-09-4947807,78.66,24415064KXBKOW4204,75.2,Wazir Dada,73947681,"Plot 184, Patparganj Industrial Area, New Delhi - 405254",False
BID_1062,"Dhillon, Chander and Oza LLP",procurement@dhillonchanderandoza.in,XXXX XXXX 6778,HYYCZ5149K,24HYYCZ5149K6ZP,L08560KA2009IKM725004,False,UDYAM-GJ-23-2971376,210.82,24854513AWKZYE4241,59.6,Aadi Mitra,70241223,"Plot 104, Peenya Industrial Area, Bengaluru - 051748",False
BID_1063,"Talwar, Upadhyay and Talwar Pvt Ltd",gem.desk@talwarupadhyayandtalwar.biz.in,XXXX XXXX 0962,ANWCF9779Z,09ANWCF9779Z7Z0,U24623TN2024ZUR434978,True,UDYAM-UP-20-1564801,35.34,24936079DIHPHE1319,92.1,Eshana Jaggi,68314369,"Plot 213, MIDC Industrial Area, Pune - 027291",False
BID_1064,Dugar-Loyal Limited,bids@dugarloyal.co.in,XXXX XXXX 8826,FXWCE4291K,33FXWCE4291K8Z4,L73816GJ2021FGR901568,False,UDYAM-TN-90-7841850,35.53,24317504FMJKZQ5272,88.4,Zaid Maharaj,30474892,"Plot 93, Taloja MIDC, Navi Mumbai - 132656",False
BID_1065,"Kapoor, Sengupta and Shenoy Pvt Ltd",info@kapoorsenguptaandshenoy.biz.in,XXXX XXXX 8648,PILCT1709S,33PILCT1709S8ZR,L23953UP2009WPH845001,False,UDYAM-TN-32-7357764,58.24,24634892LVAXBX9917,45.1,Fiyaz Nagy,90734695,"Plot 239, Whitefield Industrial Zone, Bengaluru - 393975",False
BID_1066,"Narula, Lanka and Khare Limited",procurement@narulalankaandkhare.biz.in,XXXX XXXX 9223,GBICG9042C,24GBICG9042C9ZH,L14792TN2001NCW115167,True,UDYAM-GJ-54-4951839,16.33,24680570WSZQEL5619,83.4,Upma Korpal,52212111,"Plot 149, Okhla Industrial Estate, New Delhi - 413759",False
BID_1067,Chandra Limited,gem.desk@chandra.in,XXXX XXXX 0488,ZLPCN9493K,27ZLPCN9493K7Z1,U58767GJ1999TCU808450,True,UDYAM-MH-30-6395285,35.36,24730221TOPINQ7334,31.4,Ridhi Bahl,42737777,"Plot 216, Guindy Industrial Estate, Chennai - 347691",False
BID_1068,Rout Pvt Ltd,bids@rout.com,XXXX XXXX 6431,XNOCM0102E,07XNOCM0102E8ZH,L28738DL2019SDP198966,False,UDYAM-DL-71-9211324,136.84,24974466WRDDBU1070,64.1,Nicholas Menon,02259027,"Plot 105, Guindy Industrial Estate, Chennai - 585288",False
BID_1069,"Tata, Tandon and Shere Pvt Ltd",procurement@tatatandonandshere.biz.in,XXXX XXXX 1418,VEUCC2401J,33VEUCC2401J8ZK,L02164MH2006EKN234879,False,UDYAM-TN-38-3719649,177.67,24316613SPTBTD1061,77.4,Sanaya Misra,21440005,"Plot 212, Naroda Industrial Estate, Ahmedabad - 688972",False
BID_1070,"Shere, Nagy and Narain LLP",procurement@sherenagyandnarain.biz.in,XXXX XXXX 6603,CUYCX3466M,09CUYCX3466M9ZP,L89902KA2007ICS227096,False,UDYAM-UP-54-6855901,236.32,24381216OFSKHM7109,57.0,Robert Gara,74191686,"Plot 197, MIDC Industrial Area, Pune - 960326",False
BID_1071,Nath Pvt Ltd,procurement@nath.co.in,XXXX XXXX 7560,GYICJ0257F,24GYICJ0257F4ZI,U39158KA2022JJX523653,True,UDYAM-GJ-12-1679945,1.68,24379485HEJSYH2008,92.8,Ishanvi Pillay,73102686,"Plot 114, Patparganj Industrial Area, New Delhi - 006384",True
BID_1072,Kapur-Sani LLP,gem.desk@kapursani.co.in,XXXX XXXX 9864,QVQCR0582K,24QVQCR0582K6ZO,U24676UP2007YDU088866,False,UDYAM-GJ-20-1333508,45.58,24814692BOYVRB8311,26.1,Adya Sachdev,38395997,"Plot 94, Noida Sector 63 Industrial Area, Noida - 367133",False
BID_1073,Tata LLP,info@tata.in,XXXX XXXX 9757,FZACK3573N,29FZACK3573N1ZK,L68416UP2000XNH587162,False,UDYAM-KA-86-0015397,116.67,24876090LZENAC8809,22.9,Aarav Chahal,77764093,"Plot 246, Manesar Industrial Area, Gurugram - 166812",False
BID_1074,Doctor-Shere LLP,sales@doctorshere.in,XXXX XXXX 1691,KHQCX6271F,24KHQCX6271F4ZI,U43439KA1999DLE015603,True,UDYAM-GJ-97-1325203,24.38,24316547CHTLGM3545,79.3,Jeevika Dass,78750140,"Plot 212, Rudrapur Industrial Estate, Uttarakhand - 216273",False
BID_1075,Palla-Mannan LLP,procurement@pallamannan.co.in,XXXX XXXX 3190,ZNYCT9249P,24ZNYCT9249P2ZI,L24974TN2003QIA533668,True,UDYAM-GJ-26-4996116,13.32,24972638XUBFCD4446,86.2,Anika Peri,14649485,"Plot 115, Okhla Industrial Estate, New Delhi - 762214",False
BID_1076,Hayre PLC Pvt Ltd,procurement@hayreplc.co.in,XXXX XXXX 1166,BZQCH0913O,33BZQCH0913O4ZA,L33333DL1996YQY585145,False,UDYAM-TN-93-5838645,9.60,24951505NKIBFK6115,41.4,Tarak Dass,47720351,"Plot 35, Noida Sector 63 Industrial Area, Noida - 271616",False
BID_1077,Tara-Borra Limited,gem.desk@taraborra.biz.in,XXXX XXXX 7405,IRVCO1549M,29IRVCO1549M5Z3,U67307UP2001WJR092091,False,UDYAM-KA-94-9409007,95.61,24722548QOOVHM6092,52.6,Aayush Nath,56823402,"Plot 164, Manesar Industrial Area, Gurugram - 666473",False
BID_1078,"Balay, Hora and Mand Pvt Ltd",info@balayhoraandmand.com,XXXX XXXX 9922,RHHCJ3128M,24RHHCJ3128M8ZE,L15277MH2020ZRK781256,True,UDYAM-GJ-36-6127051,26.77,24526246NOCUHH5665,38.5,Chakrika Varughese,53674386,"Plot 110, Noida Sector 63 Industrial Area, Noida - 805270",False
BID_1079,Issac-Walia Pvt Ltd,admin@issacwalia.com,XXXX XXXX 7201,YXUCR0560W,29YXUCR0560W9Z5,L19849TN2000CGT592514,False,UDYAM-KA-70-5940690,139.43,24394561AXUYWT1944,70.6,Oni Mitter,49523642,"Plot 31, Peenya Industrial Area, Bengaluru - 402356",False
BID_1080,Raval-Ganguly Limited,admin@ravalganguly.com,XXXX XXXX 6208,WRMCF5105T,09WRMCF5105T7Z6,L99547KA1997VXU823372,True,UDYAM-UP-88-5367354,31.82,24746725CUQWVA7342,25.2,Kashvi Sood,99690629,"Plot 121, MIDC Industrial Area, Pune - 414494",False
BID_1081,Kannan LLP,bids@kannan.co.in,XXXX XXXX 9888,CQUCG6518K,27CQUCG6518K8ZA,L98365TN1997LUI308524,False,UDYAM-MH-21-0785242,62.17,24514501ELOHKX8726,49.0,Chaman Sampath,89372563,"Plot 176, Hosur Industrial Estate, Hosur - 435824",False
BID_1082,Kunda LLP,admin@kunda.co.in,XXXX XXXX 2736,RYMCV2697C,24RYMCV2697C8ZF,L73686DL2024IOR689170,False,UDYAM-GJ-08-8162665,14.30,24539836VYWGZH6178,28.2,Ekalinga Bahri,86913214,"Plot 69, Baddi Industrial Area, Himachal Pradesh - 345104",True
